Base,Added
mushroom cream sauce,escalope
pasta,escalope
herb & pepper,ground beef
tomato sauce,ground beef
pasta,shrimp
chicken,ground beef
chicken,olive oil
chocolate,herb & pepper
chocolate,soup
ground beef,cooking oil
herb & pepper,eggs
red wine,eggs
nan,mushroom cream sauce
nan,pasta
spaghetti,frozen vegetables
olive oil,frozen vegetables
soup,frozen vegetables
shrimp,mineral water
shrimp,tomatoes
tomatoes,spaghetti
grated cheese,spaghetti
milk,herb & pepper
mineral water,herb & pepper
nan,herb & pepper
herb & pepper,spaghetti
soup,ground beef
nan,tomato sauce
shrimp,ground beef
soup,olive oil
whole wheat pasta,spaghetti
whole wheat pasta,mineral water
nan,pasta
tomatoes,olive oil
nan,chicken
nan,chicken
chocolate,mineral water
chocolate,spaghetti
chocolate,nan
chocolate,soup
nan,ground beef
frozen vegetables,mineral water
nan,herb & pepper
nan,red wine
ground beef,mineral water
spaghetti,mineral water
nan,spaghetti
nan,olive oil
nan,soup
nan,shrimp
nan,shrimp
nan,tomatoes
nan,grated cheese
milk,nan
nan,mineral water
nan,herb & pepper
nan,soup
nan,shrimp
nan,soup
nan,whole wheat pasta
nan,mineral water
nan,tomatoes
