,Machine 1,Machine 2,Machine 3,Machine 4,Machine 5,Machine 6,Machine 7,Machine 8,Machine 9,Machine 10,Choice
0,1,0,0,0,1,0,0,0,1,0,5
1,0,0,0,0,0,0,0,0,1,0,5
2,0,0,0,0,0,0,0,0,0,0,9
3,0,1,0,0,0,0,0,1,0,0,10
4,0,0,0,0,0,0,0,0,0,0,8
5,1,1,0,0,0,0,0,0,0,0,2
6,0,0,0,1,0,0,0,0,0,0,9
7,1,1,0,0,1,0,0,0,0,0,10
8,0,0,0,0,0,0,0,0,0,0,4
9,0,0,1,0,0,0,0,0,0,0,7
10,0,0,0,0,0,0,0,0,0,0,7
11,0,0,0,0,0,0,0,0,0,0,10
12,0,0,0,1,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,1,0,10
14,0,0,0,0,0,0,0,1,0,0,2
15,0,0,0,0,1,0,0,1,0,0,8
16,0,0,0,0,0,0,0,0,0,0,3
17,0,0,0,0,0,0,0,0,0,0,3
18,0,0,0,0,0,0,0,1,0,0,1
19,0,0,0,0,0,0,0,0,1,0,8
20,0,1,0,0,0,0,0,1,0,0,4
21,0,0,0,0,1,0,0,0,0,1,9
22,0,0,0,0,0,0,0,0,0,0,8
23,0,0,0,0,0,0,0,1,1,0,10
24,0,0,0,0,1,0,1,1,0,0,5
25,0,0,0,0,0,0,0,0,0,0,3
26,0,1,0,0,1,0,0,1,0,0,9
27,0,1,0,1,0,0,0,0,0,0,6
28,0,0,0,0,0,0,0,0,0,0,6
29,0,0,0,0,1,0,0,1,1,0,8
30,1,0,0,0,1,0,0,0,0,0,10
31,0,0,0,0,0,0,0,0,0,0,8
32,0,0,0,0,0,0,0,0,0,1,1
33,0,0,0,1,0,0,0,0,0,0,3
34,0,0,0,0,0,1,0,1,1,0,6
35,0,0,0,0,0,0,0,0,0,0,3
36,0,0,0,0,0,0,0,0,0,0,8
37,0,0,0,0,0,0,0,0,0,0,10
38,0,0,0,1,0,0,0,0,0,0,3
39,0,0,0,0,1,0,1,1,0,0,8
40,0,0,0,0,1,0,0,0,0,0,8
41,0,0,0,0,1,0,0,1,0,0,9
42,0,0,0,0,0,0,0,1,0,0,4
43,0,0,0,0,1,0,0,0,0,0,5
44,0,0,0,0,0,0,1,0,0,0,6
45,0,0,0,0,1,0,0,0,0,0,8
46,0,0,0,0,0,0,0,0,0,0,3
47,0,0,0,0,0,0,0,0,0,0,9
48,0,1,0,0,0,0,0,1,0,0,2
49,0,0,0,0,1,0,0,0,0,0,8
50,0,0,0,1,0,0,0,1,0,0,8
51,0,0,0,0,0,0,0,0,0,0,8
52,0,0,0,0,1,0,0,1,0,0,10
53,1,0,0,0,1,0,0,0,0,0,5
54,0,0,1,0,1,0,0,0,0,0,9
55,0,1,1,0,0,0,0,0,0,0,9
56,1,0,0,0,0,0,0,0,0,0,10
57,0,0,1,0,0,0,0,1,0,0,9
58,0,0,0,0,0,0,0,0,0,0,8
59,0,1,0,0,0,0,0,0,0,0,3
60,1,0,0,0,0,0,0,0,0,0,10
61,0,0,1,0,0,0,0,0,0,0,3
62,0,0,0,0,1,0,0,0,0,0,5
63,0,0,0,0,1,0,0,0,0,0,8
64,0,0,0,0,0,0,0,0,1,0,8
65,0,0,0,1,0,0,0,0,0,0,8
66,0,0,0,0,1,0,0,0,0,0,9
67,0,1,0,0,1,0,0,0,0,0,10
68,0,0,0,0,0,0,0,0,0,0,6
69,0,0,0,0,0,0,0,0,0,0,5
70,0,0,0,0,0,0,0,0,0,0,2
71,0,0,0,0,0,0,0,1,0,0,1
72,0,1,0,0,1,0,0,0,0,0,7
73,0,0,0,0,0,0,0,0,0,0,2
